management,foundfam_owned,country,industry,comp_strength
2.94444441795349,0,United States,chemicals,high
2.44444441795349,0,United States,electronic,high
3.05555558204651,0,United States,machinery,low
3.0,0,United States,pri_metal,high
3.11111116409302,1,United States,printing,high
3.16666674613953,0,United States,printing,high
3.27777767181396,1,United States,measurement,high
3.88888883590698,0,United States,measurement,high
3.0,0,New Zealand,leather,med
2.83333325386047,0,New Zealand,food,med
3.05555558204651,0,New Zealand,pri_metal,high
3.33333325386047,0,New Zealand,chemicals,low
2.72222232818604,1,New Zealand,electronic,high
2.55555558204651,0,New Zealand,food,high
3.11111116409302,1,New Zealand,food,low
2.72222232818604,0,New Zealand,apparel,med
2.44444441795349,1,New Zealand,food,med
3.11111116409302,1,New Zealand,machinery,high
1.11111116409302,1,New Zealand,misc_manuf,med
3.11111116409302,1,New Zealand,food,med
2.55555558204651,1,New Zealand,fab_metal,high
3.38888883590698,0,New Zealand,chemicals,low
2.94444441795349,0,New Zealand,milled,low
3.05555558204651,0,New Zealand,electronic,med
2.0,0,New Zealand,lumber,high
4.05555534362793,0,New Zealand,food,high
2.66666674613953,0,New Zealand,food,med
2.16666674613953,1,New Zealand,fab_metal,low
3.11111116409302,0,New Zealand,milled,low
2.05555558204651,0,New Zealand,paper,high
3.27777767181396,1,New Zealand,chemicals,med
2.38888883590698,0,New Zealand,paper,low
3.55555558204651,0,New Zealand,food,high
2.77777767181396,0,New Zealand,printing,med
3.11111116409302,0,New Zealand,paper,low
2.33333325386047,0,New Zealand,pri_metal,low
2.88888883590698,0,New Zealand,fab_metal,high
3.44444441795349,0,New Zealand,measurement,high
3.16666674613953,0,New Zealand,electronic,high
2.05555558204651,0,New Zealand,furniture,med
3.27777767181396,1,New Zealand,machinery,low
4.05555534362793,0,New Zealand,machinery,high
3.55555558204651,0,New Zealand,chemicals,low
2.61111116409302,0,New Zealand,fab_metal,med
2.83333325386047,0,New Zealand,chemicals,high
3.16666674613953,0,New Zealand,chemicals,high
2.5,0,New Zealand,fab_metal,high
3.33333325386047,0,New Zealand,apparel,med
2.61111116409302,0,New Zealand,fab_metal,low
2.72222232818604,0,New Zealand,fab_metal,low
2.94444441795349,0,New Zealand,food,high
3.0,0,New Zealand,machinery,high
3.22222232818604,0,New Zealand,machinery,high
2.05555558204651,1,New Zealand,petrol,high
3.38888883590698,0,New Zealand,lumber,high
3.11111116409302,0,New Zealand,fab_metal,high
3.0,0,New Zealand,lumber,high
2.83333325386047,1,New Zealand,food,high
3.11111116409302,1,New Zealand,transport,high
3.16666674613953,0,New Zealand,fab_metal,low
2.44444441795349,0,New Zealand,food,high
2.55555558204651,0,New Zealand,rubber,high
3.55555558204651,0,New Zealand,rubber,low
2.83333325386047,0,New Zealand,machinery,med
3.33333325386047,0,New Zealand,machinery,high
2.83333325386047,1,New Zealand,rubber,high
1.94444441795349,1,New Zealand,apparel,high
2.11111116409302,0,New Zealand,furniture,high
2.94444441795349,0,New Zealand,lumber,high
2.0,1,New Zealand,food,high
2.05555558204651,1,New Zealand,food,high
2.27777767181396,1,New Zealand,misc_manuf,low
3.27777767181396,0,New Zealand,paper,low
1.94444441795349,1,New Zealand,milled,high
2.72222232818604,0,New Zealand,food,low
1.5,1,New Zealand,chemicals,high
2.77777767181396,1,New Zealand,lumber,med
2.61111116409302,0,New Zealand,printing,low
2.16666674613953,1,New Zealand,fab_metal,med
2.38888883590698,1,New Zealand,machinery,low
3.38888883590698,1,New Zealand,transport,med
2.83333325386047,1,New Zealand,food,high
2.72222232818604,0,New Zealand,milled,high
2.27777767181396,0,New Zealand,food,med
2.33333325386047,0,New Zealand,food,low
2.27777767181396,1,New Zealand,misc_manuf,high
2.83333325386047,1,New Zealand,food,low
2.22222232818604,1,New Zealand,stone,med
2.61111116409302,0,New Zealand,pri_metal,high
3.44444441795349,1,New Zealand,rubber,low
3.27777767181396,0,New Zealand,food,low
2.77777767181396,0,New Zealand,fab_metal,high
2.27777767181396,1,New Zealand,lumber,high
2.55555558204651,0,New Zealand,food,med
2.83333325386047,1,New Zealand,chemicals,low
2.55555558204651,0,New Zealand,machinery,med
1.83333337306976,0,New Zealand,machinery,low
3.44444441795349,0,New Zealand,lumber,low
2.88888883590698,0,New Zealand,fab_metal,high
3.22222232818604,0,New Zealand,chemicals,low
1.77777779102325,1,New Zealand,petrol,low
2.94444441795349,0,New Zealand,machinery,high
3.72222232818604,0,New Zealand,paper,low
2.77777767181396,1,New Zealand,food,high
3.11111116409302,0,New Zealand,milled,med
3.88888883590698,1,New Zealand,paper,med
2.72222232818604,0,New Zealand,food,high
2.83333325386047,0,New Zealand,machinery,low
4.33333349227905,1,United States,machinery,med
3.83333325386047,1,New Zealand,chemicals,high
2.44444441795349,0,United States,machinery,med
3.22222232818604,0,New Zealand,electronic,low
2.38888883590698,1,New Zealand,food,low
2.16666674613953,0,New Zealand,lumber,high
3.0,1,New Zealand,food,high
3.22222232818604,0,New Zealand,food,high
3.27777767181396,0,New Zealand,fab_metal,low
3.5,0,New Zealand,petrol,high
1.66666662693024,1,New Zealand,lumber,high
2.5,0,New Zealand,machinery,high
2.83333325386047,0,New Zealand,chemicals,med
2.33333325386047,1,New Zealand,food,med
3.11111116409302,1,New Zealand,transport,high
2.88888883590698,0,New Zealand,food,high
2.16666674613953,0,New Zealand,food,low
1.44444441795349,1,New Zealand,stone,low
3.0,0,New Zealand,furniture,high
3.72222232818604,0,New Zealand,paper,high
2.44444441795349,0,New Zealand,paper,low
3.16666674613953,0,New Zealand,food,med
2.94444441795349,0,New Zealand,paper,med
3.44444441795349,0,New Zealand,fab_metal,high
1.88888883590698,1,New Zealand,food,low
3.94117641448975,0,United States,machinery,high
4.05555534362793,0,United States,furniture,low
3.05555558204651,0,United States,transport,low
3.77777767181396,0,United States,measurement,high
4.33333349227905,0,United States,measurement,high
2.66666674613953,1,United States,stone,low
3.83333325386047,0,United States,machinery,high
2.88235282897949,0,United States,machinery,high
2.94444441795349,0,United States,chemicals,high
2.38888883590698,1,United States,printing,high
3.22222232818604,0,United States,fab_metal,high
3.61111116409302,0,United States,measurement,high
3.11111116409302,0,United States,measurement,low
3.55555558204651,0,United States,measurement,high
3.29411768913269,0,United States,electronic,high
2.27777767181396,0,United States,pri_metal,high
2.66666674613953,1,United States,apparel,high
2.94444441795349,0,United States,machinery,high
2.11764717102051,0,United States,measurement,low
2.66666674613953,0,United States,rubber,high
3.61111116409302,0,United States,rubber,high
3.55555558204651,1,United States,machinery,med
4.22222232818604,0,United States,machinery,high
1.66666662693024,0,United States,electronic,high
2.94444441795349,1,United States,stone,high
3.6875,1,United States,printing,high
3.38888883590698,0,United States,electronic,high
3.83333325386047,0,United States,food,high
3.16666674613953,0,United States,measurement,low
4.66666650772095,0,United States,measurement,high
3.33333325386047,0,United States,paper,high
3.66666674613953,0,United States,transport,med
3.05555558204651,0,United States,measurement,low
2.5,0,United States,machinery,med
3.33333325386047,0,Australia,misc_manuf,med
2.44444441795349,0,Australia,printing,high
3.61111116409302,0,Australia,transport,high
3.44444441795349,1,Australia,electronic,low
3.33333325386047,1,Australia,fab_metal,low
2.94444441795349,0,Australia,pri_metal,low
2.66666674613953,1,Australia,electronic,high
1.88888883590698,1,Australia,fab_metal,low
3.38888883590698,0,Australia,food,high
2.38888883590698,1,Australia,stone,low
2.55555558204651,1,Australia,food,high
3.05555558204651,1,Australia,electronic,high
3.05555558204651,1,Australia,lumber,low
1.77777779102325,0,Australia,machinery,low
3.22222232818604,0,Australia,printing,high
2.66666674613953,0,Australia,misc_manuf,low
3.16666674613953,0,Australia,fab_metal,high
2.88888883590698,0,Australia,stone,high
2.5,0,Australia,food,low
3.16666674613953,0,Australia,chemicals,high
4.0,0,Australia,electronic,low
3.38888883590698,0,Australia,electronic,low
3.16666674613953,0,Australia,milled,low
3.16666674613953,0,Australia,food,high
2.64705872535706,1,Australia,food,high
3.77777767181396,0,United States,transport,high
3.38888883590698,1,Australia,furniture,low
2.88888883590698,1,Australia,machinery,low
3.61111116409302,0,Australia,electronic,med
3.11111116409302,0,Australia,pri_metal,high
4.22222232818604,0,United States,pri_metal,low
2.61111116409302,0,Australia,printing,med
2.38888883590698,0,Australia,misc_manuf,low
3.33333325386047,1,Australia,rubber,low
2.94444441795349,0,United States,electronic,high
2.88888883590698,1,Australia,furniture,high
2.83333325386047,0,United States,chemicals,high
4.61111116409302,0,United States,electronic,high
2.77777767181396,0,Australia,rubber,high
2.05555558204651,0,Australia,machinery,high
3.27777767181396,0,Australia,printing,low
3.33333325386047,0,Australia,paper,med
1.83333337306976,1,Australia,electronic,high
2.83333325386047,1,Australia,furniture,med
2.44444441795349,0,Australia,food,low
